stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
101N,Van Cortlandt Park-242 St,40.889248,-73.898583,0,101
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,0,101
103N,238 St,40.884667,-73.900870,0,103
103S,238 St,40.884667,-73.900870,0,103
104N,231 St,40.878856,-73.904834,0,104
104S,231 St,40.878856,-73.904834,0,104
106N,Marble Hill-225 St,40.874561,-73.909831,0,106
106S,Marble Hill-225 St,40.874561,-73.909831,0,106
107N,215 St,40.869444,-73.915279,0,107
107S,215 St,40.869444,-73.915279,0,107
108N,207 St,40.864621,-73.918822,0,108
108S,207 St,40.864621,-73.918822,0,108
109N,Dyckman St,40.860531,-73.925536,0,109
109S,Dyckman St,40.860531,-73.925536,0,109
110N,191 St,40.855225,-73.929412,0,110
110S,191 St,40.855225,-73.929412,0,110
111N,181 St,40.849505,-73.933596,0,111
111S,181 St,40.849505,-73.933596,0,111
112N,168 St-Washington Hts,40.840556,-73.940133,0,112
112S,168 St-Washington Hts,40.840556,-73.940133,0,112
113N,157 St,40.834041,-73.944890,0,113
113S,157 St,40.834041,-73.944890,0,113
114N,145 St,40.826551,-73.950360,0,114
114S,145 St,40.826551,-73.950360,0,114
115N,137 St-City College,40.822008,-73.953676,0,115
115S,137 St-City College,40.822008,-73.953676,0,115
116N,125 St,40.815581,-73.958372,0,116
116S,125 St,40.815581,-73.958372,0,116
117N,116 St-Columbia University,40.807722,-73.964110,0,117
117S,116 St-Columbia University,40.807722,-73.964110,0,117
118N,Cathedral Pkwy (110 St),40.803967,-73.966847,0,118
118S,Cathedral Pkwy (110 St),40.803967,-73.966847,0,118
119N,103 St,40.799446,-73.968379,0,119
119S,103 St,40.799446,-73.968379,0,119
120N,96 St,40.793919,-73.972323,0,120
120S,96 St,40.793919,-73.972323,0,120
201N,Wakefield-241 St,40.903125,-73.850620,0,201
201S,Wakefield-241 St,40.903125,-73.850620,0,201
224N,135 St,40.814229,-73.940770,0,224
224S,135 St,40.814229,-73.940770,0,224
235N,Atlantic Av-Barclays Ctr,40.684359,-73.977666,0,235
235S,Atlantic Av-Barclays Ctr,40.684359,-73.977666,0,235
247N,Flatbush Av-Brooklyn College,40.632836,-73.947642,0,247
247S,Flatbush Av-Brooklyn College,40.632836,-73.947642,0,247
301N,Harlem-148 St,40.823880,-73.936470,0,301
301S,Harlem-148 St,40.823880,-73.936470,0,301
401N,Woodlawn,40.886037,-73.878751,0,401
401S,Woodlawn,40.886037,-73.878751,0,401
402N,Mosholu Pkwy,40.879750,-73.884655,0,402
402S,Mosholu Pkwy,40.879750,-73.884655,0,402
414N,161 St-Yankee Stadium,40.827994,-73.925831,0,414
414S,161 St-Y Yankee Stadium,40.827994,-73.925831,0,414
418N,Fulton St,40.710368,-74.009509,0,418
418S,Fulton St,40.710368,-74.009509,0,418
420N,Bowling Green,40.704817,-74.014065,0,420
420S,Bowling Green,40.704817,-74.014065,0,420
501N,Eastchester-Dyre Av,40.888300,-73.830834,0,501
501S,Eastchester-Dyre Av,40.888300,-73.830834,0,501
601N,Pelham Bay Park,40.852462,-73.828121,0,601
601S,Pelham Bay Park,40.852462,-73.828121,0,601
619N,3 Av-138 St,40.810476,-73.926138,0,619
619S,3 Av-138 St,40.810476,-73.926138,0,619
631N,Grand Central-42 St,40.751776,-73.976848,0,631
631S,Grand Central-42 St,40.751776,-73.976848,0,631
640N,Brooklyn Bridge-City Hall,40.713065,-74.004131,0,640
640S,Brooklyn Bridge-City Hall,40.713065,-74.004131,0,640
701N,Flushing-Main St,40.759600,-73.830030,0,701
701S,Flushing-Main St,40.759600,-73.830030,0,701
710N,74 St-Broadway,40.746848,-73.891394,0,710
710S,74 St-Broadway,40.746848,-73.891394,0,710
726N,34 St-Hudson Yards,40.755882,-74.001910,0,726
726S,34 St-Hudson Yards,40.755882,-74.001910,0,726
901N,Grand Central-42 St,40.752769,-73.979189,0,901
901S,Grand Central-42 St,40.752769,-73.979189,0,901
902N,Times Sq-42 St,40.755983,-73.986229,0,902
902S,Times Sq-42 St,40.755983,-73.986229,0,902
